WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  LAUN    TXFR                                            
HMS                      8     5     3     3    65   538   201     0     0    -9       1
Beagle                   8     5     6     6    69   539   270     0     0    -4       1
HMS                      8     5     3     3    67   538   234     2     2     2       1
Beagle                   8     5     6     6    70   539   176     1     1    -3       1
Beagle                   8     5     6     6    71   539    63     2     2    -1       1
*Off-screen              9   -99     6     6   -99   -99   146   -99   -99   -99     -99
lasted                   9     1     6     6     0   540   198     0     0   -99       1
five                     9     1     4     4     8   541   160     1     1    -8      18
longer.                  9     1     7     6    20   543   137     2     2   -12      14
*Blink                   9   -99     7     6   -99   -99    89   -99   -99   -99     -99
marvelled                9     1     9     9    32   545   405     3     3   -99       3
the                      9     1     3     3    45   547   189     3     3   -13    3511
tortoises                9     1     9     9    51   548   238     5     5    -6       2
the                      9     1     3     3    63   550   168     3     3   -12    3511
iguanas,                 9     1     8     7    68   551   152     4     4    -5       2
it                       9     1     2     2    77   553   206     0     0    -9     544
was                      9     2     3     3     3   554   191     3     3   -99     383
tiny                     9     2     4     4    12   556   249     4     4    -9      13
jolted                   9     2     6     6    29   559   211     3     3   -17       1
imagination              9     2    11    11    41   561   232     4     4   -12       5
most                     9     2     4     4    52   562   187     3     3   -11      93
vividly.                 9     2     8     7    58   563   200     4     4    -6       1
most                     9     2     4     4    52   562   240     3     3     6      93
are                      9     2     3     3    69   565   162     1     1   -17     351
still                    9     2     5     5    75   566   106     3     3    -6      52
